Date,Narration,Withdrawal_Amt,True_Category
01/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 125041265189-PAYMENT FROM PHONE,1748.76,Healthcare
01/01/2025,UPI-KWATRA-IBKPOS.EP842398@ICICI-ICIC000 1947-106685409177-PAYMENT FROM PHONE,4684.11,Transfers
02/01/2025,UPI-JABIR HUSAIN TAI-9316523148@YBL-SBIN 44215-410990140532-PAYMENT FROM PHONE,6315.31,Transfers
02/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.825162605680@H DFCBANK-HDFC0MERUPI-573343896103-PAYMENT FROM PHONE,38170.45,Transfers
02/01/2025,UPI-EKART-EKART2.PAYU@AXISBANK-UTIB00001 00-134133391285-UPIQR,6146.61,Shopping
03/01/2025,UPI-SWIGGY-7583115322@HDFCBANK-HDFC0MERUP I-695920082840-SWIGGY FOOD,276.03,Food & Dining
03/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.331689074644@H DFCBANK-HDFC0MERUPI-552438094116-PAYMENT FROM PHONE,30202.05,Transfers
03/01/2025,UPI-SWIGGY-9321181417@HDFCBANK-HDFC0MERUP I-667963455681-SWIGGY FOOD,164.98,Food & Dining
03/01/2025,UPI-EKART-EKART@YBL-YESB0YBLUPI-75639552 1843-PAYMENT FOR REFCL5,871.74,Shopping
03/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-436162268106-PAYMENT FROM PHONE,32965.79,Transfers
03/01/2025,UPI-MAHESH KUMAR MALI-8261673754@YBL-SBI N0030057-575717854372-PAYMENT FROM PHONE,23856.37,Transfers
04/01/2025,UPI-OLA CABS-7912070660@PTYBL YESB0PTMUPI-625846834602-AUTO PAYMENT,669.31,Transport
04/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 395967232471-PAYMENT FROM PHONE,1953.6,Healthcare
04/01/2025,UPI-JABIR HUSAIN TAI-8842043059@YBL-SBIN 31464-236557949807-PAYMENT FROM PHONE,848.13,Transfers
04/01/2025,UPI-SHAILENDRA PRAJAPAT-PAYTM.S41222@PT Y-YESB0MCHUPI-564793584573-PAYMENT FROM PHONE,15049.53,Transfers
04/01/2025,UPI-ZOMATO-PAYZOMATO@HDFCBANK-HDFC0MERUP I-192400949285-PAYMENT FROM PHONE,126.81,Food & Dining
04/01/2025,UPI-BPCL UFILL 8-PAYTMQR55676737@PAYTM-YE SB0PTMUPI-705183511743-PAYMENT FROM PHON E,1409.79,Transport
04/01/2025,UPI-ETISHA MITTAL-7788066350-2@AXL-UBIN0 282572-172380588936-PAYMENT FROM PHONE,19703.91,Transfers
05/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-305854926466-UPIINTENT,378.6,Food & Dining
05/01/2025,UPI-ABHISHEK READYMADES-Q447652588@YBL-Y ESB0YBLUPI-997975952818-PAYMENT FROM PHO NE,900.77,Shopping
05/01/2025,UPI-RAMESH KUMAR PATIDA-SURESHSINGH71-5@O KHDFCBANK-HDFC8514622-597610575977-PAYME NT FROM PHONE,12472.91,Transfers
05/01/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL16@ OKSBI-BKID0008860-781328392527-PAYMENT F ROM PHONE,33086.82,Transfers
05/01/2025,UPI-SRN PRINTERS-BHARATPE.27310245246@FB PE-FDRL0001382-727358270469-PAY TO BHARA TPE ME,2224.3,Education
05/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-505446734169-PAYMENT FROM PHONE,5148.24,Transfers
06/01/2025,UPI-SWIGGY-8949432701@HDFCBANK-HDFC0MERUP I-495524240215-SWIGGY FOOD,404.73,Food & Dining
06/01/2025,UPI-TAKEUFORWARD-TAKEUFORWARD328596.RZP@ RXAIRTEL-AIRP0000011-909288180488-PAYMEN TTOTAKEUFORW,3057.93,Education
06/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-154814579600-PAYMENT FOR 100006,1378.14,Transport
06/01/2025,UPI-KWATRA-IBKPOS.EP609446@ICICI-ICIC000 8142-146940237538-PAYMENT FROM PHONE,11497.15,Transfers
06/01/2025,UPI-KWATRA-IBKPOS.EP589565@ICICI-ICIC000 6789-196127633518-PAYMENT FROM PHONE,26851.93,Transfers
07/01/2025,UPI-UBER-8914181914@HDFCBANK HDFC0MERUPI-810235365455-RIDE PAYMENT,786.79,Transport
07/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-308761856551-PAYMENT FOR 100006,1273.53,Transport
07/01/2025,UPI-ABHISHEK READYMADES-Q358456060@YBL-Y ESB0YBLUPI-526249951370-PAYMENT FROM PHO NE,4200.98,Shopping
07/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 550572690341-PAYMENT FROM PHONE,1847.34,Healthcare
08/01/2025,UPI-OLA CABS-8187198196@PTYBL YESB0PTMUPI-421422292058-AUTO PAYMENT,1126.42,Transport
