Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/2025,NEFT/INFOSYS LIMITED/MONTHLY SALARY,6209338896418652,01/01/2025,,89701,142564.92
01/01/2025,UPI-DEVKARAN MEENA-8183688127@YBL-FINO00 64073-921277495701-PAYMENT FROM PHONE,3157060714065927,01/01/2025,,31300.43,173865.35
01/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 125041265189-PAYMENT FROM PHONE,6080572207887110,01/01/2025,1748.76,,172116.59
01/01/2025,UPI-KWATRA-IBKPOS.EP842398@ICICI-ICIC000 1947-106685409177-PAYMENT FROM PHONE,9972263279966181,01/01/2025,4684.11,,167432.48
02/01/2025,UPI-JABIR HUSAIN TAI-9316523148@YBL-SBIN 44215-410990140532-PAYMENT FROM PHONE,1479241689002403,02/01/2025,6315.31,,161117.17
02/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.825162605680@H DFCBANK-HDFC0MERUPI-573343896103-PAYMENT FROM PHONE,1683010683575865,02/01/2025,38170.45,,122946.72
02/01/2025,NEFT/INFOSYS LIMITED/MONTHLY SALARY,9142097963872467,02/01/2025,,82049,204995.72
02/01/2025,UPI-EKART-EKART2.PAYU@AXISBANK-UTIB00001 00-134133391285-UPIQR,2061529249512649,02/01/2025,6146.61,,198849.11
03/01/2025,UPI-SWIGGY-7583115322@HDFCBANK-HDFC0MERUP I-695920082840-SWIGGY FOOD,3252047767777873,03/01/2025,276.03,,198573.08
03/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.331689074644@H DFCBANK-HDFC0MERUPI-552438094116-PAYMENT FROM PHONE,7750076579539237,03/01/2025,30202.05,,168371.03
03/01/2025,UPI-GHANSHYAM GURJAR-GHANSHYAMG694@AXL 4215051-570264183604-PAYMENT FROM PH ONE,8270980803526125,03/01/2025,,15630.51,184001.54
03/01/2025,UPI-SWIGGY-9321181417@HDFCBANK-HDFC0MERUP I-667963455681-SWIGGY FOOD,1288864683092363,03/01/2025,164.98,,183836.56
03/01/2025,UPI-EKART-EKART@YBL-YESB0YBLUPI-75639552 1843-PAYMENT FOR REFCL5,3595095579178357,03/01/2025,871.74,,182964.82
03/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-436162268106-PAYMENT FROM PHONE,6185485942510031,03/01/2025,32965.79,,149999.03
03/01/2025,UPI-MAHESH KUMAR MALI-8261673754@YBL-SBI N0030057-575717854372-PAYMENT FROM PHONE,9638323396281725,03/01/2025,23856.37,,126142.66
04/01/2025,UPI-OLA CABS-7912070660@PTYBL YESB0PTMUPI-625846834602-AUTO PAYMENT,4885541412665124,04/01/2025,669.31,,125473.35
04/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 395967232471-PAYMENT FROM PHONE,7312904550083973,04/01/2025,1953.6,,123519.75
04/01/2025,UPI-JABIR HUSAIN TAI-8842043059@YBL-SBIN 31464-236557949807-PAYMENT FROM PHONE,1132169839656682,04/01/2025,848.13,,122671.62
04/01/2025,UPI-SHAILENDRA PRAJAPAT-PAYTM.S41222@PT Y-YESB0MCHUPI-564793584573-PAYMENT FROM PHONE,8020881134506101,04/01/2025,15049.53,,107622.09
04/01/2025,UPI-MR PANKAJ BHAT-9639986297-2@YBL-CBI N6468315-668317424561-PAYMENT FROM PHONE,4251933056299912,04/01/2025,,32754.19,140376.28
04/01/2025,UPI-ZOMATO-PAYZOMATO@HDFCBANK-HDFC0MERUP I-192400949285-PAYMENT FROM PHONE,9987122680027919,04/01/2025,126.81,,140249.47
04/01/2025,UPI-BPCL UFILL 8-PAYTMQR55676737@PAYTM-YE SB0PTMUPI-705183511743-PAYMENT FROM PHON E,9112232959374738,04/01/2025,1409.79,,138839.68
04/01/2025,UPI-ETISHA MITTAL-7788066350-2@AXL-UBIN0 282572-172380588936-PAYMENT FROM PHONE,1377035245438774,04/01/2025,19703.91,,119135.77
05/01/2025,UPI-RACHANA RAWAT-723866519R@AXL-FINO00 20001-947694730821-PAYMENT FROM PHONE,2564892137217259,05/01/2025,,14958.33,134094.1
05/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-305854926466-UPIINTENT,2762229726293241,05/01/2025,378.6,,133715.5
05/01/2025,UPI-ABHISHEK READYMADES-Q447652588@YBL-Y ESB0YBLUPI-997975952818-PAYMENT FROM PHO NE,9608410541658415,05/01/2025,900.77,,132814.73
05/01/2025,UPI-RAMESH KUMAR PATIDA-SURESHSINGH71-5@O KHDFCBANK-HDFC8514622-597610575977-PAYME NT FROM PHONE,1283135610630458,05/01/2025,12472.91,,120341.82
05/01/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL16@ OKSBI-BKID0008860-781328392527-PAYMENT F ROM PHONE,7732540155029942,05/01/2025,33086.82,,87255.0
05/01/2025,UPI-SRN PRINTERS-BHARATPE.27310245246@FB PE-FDRL0001382-727358270469-PAY TO BHARA TPE ME,5725275626546389,05/01/2025,2224.3,,85030.7
05/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-505446734169-PAYMENT FROM PHONE,1362150810136027,05/01/2025,5148.24,,79882.46
06/01/2025,UPI-SWIGGY-8949432701@HDFCBANK-HDFC0MERUP I-495524240215-SWIGGY FOOD,7448708001054702,06/01/2025,404.73,,79477.73
06/01/2025,UPI-TAKEUFORWARD-TAKEUFORWARD328596.RZP@ RXAIRTEL-AIRP0000011-909288180488-PAYMEN TTOTAKEUFORW,2188797764830577,06/01/2025,3057.93,,76419.8
06/01/2025,UPI-RACHANA RAWAT-853057143R@AXL-FINO00 40001-524241077410-PAYMENT FROM PHONE,4680305200076906,06/01/2025,,28346.04,104765.84
06/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-154814579600-PAYMENT FOR 100006,8916704414398614,06/01/2025,1378.14,,103387.7
06/01/2025,UPI-KWATRA-IBKPOS.EP609446@ICICI-ICIC000 8142-146940237538-PAYMENT FROM PHONE,7227431165820432,06/01/2025,11497.15,,91890.55
06/01/2025,UPI-KWATRA-IBKPOS.EP589565@ICICI-ICIC000 6789-196127633518-PAYMENT FROM PHONE,9930446040009186,06/01/2025,26851.93,,65038.62
07/01/2025,UPI-VINOD-VINODBAGADA5@AXL-SBIN0030057-9 672990833264-PAYMENT FROM PHONE,7622473693256057,07/01/2025,,39932.93,104971.55
07/01/2025,UPI-UBER-8914181914@HDFCBANK HDFC0MERUPI-810235365455-RIDE PAYMENT,8472844405250022,07/01/2025,786.79,,104184.76
07/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-308761856551-PAYMENT FOR 100006,5813477584112127,07/01/2025,1273.53,,102911.23
07/01/2025,UPI-ABHISHEK READYMADES-Q358456060@YBL-Y ESB0YBLUPI-526249951370-PAYMENT FROM PHO NE,6216268625481844,07/01/2025,4200.98,,98710.25
07/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 550572690341-PAYMENT FROM PHONE,3690435913573205,07/01/2025,1847.34,,96862.91
08/01/2025,UPI-RACHANA RAWAT-918103208R@AXL-FINO00 10001-879494461112-PAYMENT FROM PHONE,8601702383770627,08/01/2025,,9233.92,106096.83
08/01/2025,UPI-RADESHYAM CHAUDHARY-DIMPALCHOUDHARY 6991@AXL-SBIN0030057-282929158043-PAYMENT T FROM PHONE,5443626287943574,08/01/2025,,10654.17,116751.0
08/01/2025,UPI-OLA CABS-8187198196@PTYBL YESB0PTMUPI-421422292058-AUTO PAYMENT,6741703192237947,08/01/2025,1126.42,,115624.58
08/01/2025,BBPS/BESCOM/ELECTRICITY/BILL PAY,7253767950059155,08/01/2025,347.1,,115277.48
